номер сеанса;Название организации;Объект испытаний 1;Объект испытаний 2;Объект испытаний 3;Объект испытаний 4;Код среды (Ион);Среднее по трековым детекторам;ТД1;ТД2;ТД3;ТД4;ТД5;ТД6;ТД7;ТД8;ТД9;Среднее по on-line детекторам;ОД1;ОД2;ОД3;ОД4;Интенсивность потока в сеансе;Номер протокола допуска;Угол облучения;Давление на испытательном комплексе;Влажность на испытательном комплексе, %;Температура на испытательном комплексе;Температура в сеансе;неоднородность, %;К;±;Неоднородность по левой стороне;Неоднородность по правой стороне
76;СПЭЛС;8911010001;8911010001;;;КрВак-;5,53E+05;5,20E+05;5,70E+05;5,50E+05;5,70E+05;;;;;;4,90E+05;4,84E+05;4,83E+05;4,74E+05;5,19E+05;5,00E+01;02.02.2005;0;740;50;24;125;8,77;1,13;0,34;8,77;3,51
77;СПЭЛС;22015010001;22015010001;;;КрВак-;1,35E+06;1,30E+06;1,40E+06;1,30E+06;1,40E+06;;;;;;1,18E+06;1,17E+06;1,16E+06;1,14E+06;1,25E+06;1,00E+03;02.02.2005;0;740;50;24;25;7,14;1,14;0,34;7,14;7,14
78;СПЭЛС;20091010002;;;;КрВак-;4,25E+06;4,10E+06;4,40E+06;;;;;;;;3,95E+06;3,89E+06;3,87E+06;3,85E+06;4,18E+06;5,00E+03;02.02.2005;0;740;50;24;85;6,82;1,08;0,34;;
79;СПЭЛС;20091010002;;;;КрВак-;4,75E+06;4,70E+06;4,80E+06;;;;;;;;4,24E+06;4,18E+06;4,17E+06;4,11E+06;4,48E+06;5,00E+03;02.02.2005;0;740;50;24;85;2,08;1,12;0,32;;
80;СПЭЛС;21061010001;;;;КрВак-;1,65E+06;1,70E+06;1,60E+06;;;;;;;;1,54E+06;1,52E+06;1,51E+06;1,49E+06;1,63E+06;3,00E+03;02.02.2005;0;738;47;24;125;5,88;1,07;0,33;;
81;СПЭЛС;21061010001;;;;АрВак--;1,65E+06;1,70E+06;1,60E+06;;;;;;;;1,24E+06;1,25E+06;1,21E+06;1,22E+06;1,28E+06;3,00E+03;02.02.2005;0;738;47;24;125;5,88;1,33;0,41;;
-;Простой;-;-;;;КсВак--;-;-;-;-;-;;;;;;-;-;-;-;-;-;02.02.2005;-;;;;-;-;-;-;-;-
-;Переход;;;;;;;;;;;;;;;;;;;;;;;-;738;47;24;-;-;-;-;;
82;ПН(Переход);;;;;АрВак--;9,69E+06;9,80E+06;9,60E+06;9,40E+06;1,00E+07;9,20E+06;9,40E+06;9,80E+06;1,00E+07;1,00E+07;1,01E+07;1,01E+07;1,03E+07;9,47E+06;1,04E+07;5,00E+04;02.03.2001;-;738;47;24;25;8;0,96;0,28;;
83;ПН(Переход);;;;;АрВак--;1,07E+07;1,00E+07;1,10E+07;1,10E+07;1,00E+07;1,00E+07;1,10E+07;1,10E+07;1,20E+07;1,00E+07;1,00E+07;1,02E+07;1,05E+07;9,23E+06;1,02E+07;2,00E+04;02.03.2002;-;738;47;24;25;16,67;1,06;0,33;;
84;ПН(Переход);;;;;АрВак--;5,01E+06;4,80E+06;5,00E+06;4,70E+06;5,30E+06;4,90E+06;4,90E+06;5,50E+06;5,30E+06;4,70E+06;5,01E+06;5,11E+06;5,27E+06;4,60E+06;5,06E+06;1,00E+04;02.03.2003;-;738;47;24;25;14,55;1;0,31;;
85;ПН(Переход);;;;;АрВак--;4,91E+05;4,60E+05;4,80E+05;4,90E+05;4,90E+05;5,20E+05;4,90E+05;5,10E+05;5,10E+05;4,70E+05;5,02E+05;5,13E+05;5,30E+05;4,59E+05;5,04E+05;1,00E+03;02.03.2004;-;738;47;24;25;11,54;0,98;0,29;;
86;СПЭЛС;21097010001;22010010001;;;АрВак--;1,15E+08;1,10E+08;1,10E+08;1,20E+08;1,20E+08;;;;;;1,20E+08;1,22E+08;1,26E+08;1,10E+08;1,22E+08;5,00E+04;02.03.2002;0;738;47;24;25;8,33;0,96;0,29;0;0
